Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: scc_2619 not found for field Order_Number__c in entity WorkOrder:--,Apply two coat of Tnemec series 69 @ 4.0-6.0 mils
INVALID_FIELD:Foreign key external ID: scc_2620 not found for field Order_Number__c in entity WorkOrder:--,interior of pipe Surface preparation will be prepared according to SSPC SP10
INVALID_FIELD:Foreign key external ID: scc_2625 not found for field Order_Number__c in entity WorkOrder:--,Apply one coat of Tnemec series 431@ 30-50 mils",,2616-01,Closed,???,SCC_159661,SCC_2616,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,7,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2626 not found for field Order_Number__c in entity WorkOrder:--,7,1,2000.0,Sand and roll prime compressed air tank.  Customer to provide scissor lift,,2619-01,Closed,???,SCC_159662,SCC_2619,02iDn000000AXurIAG,01uDn000003d5aFIAQ,DUMMY,8,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2621 not found for field Order_Number__c in entity WorkOrder:--,8,900,4.46,Load #9,,2620-01,Closed,???,SCC_159663,SCC_2620,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,9,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2621 not found for field Order_Number__c in entity WorkOrder:--,9,750,4.46,Blast and prime / Load #16,,2625-01,Open,???,SCC_159664,SCC_2625,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,10,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2623 not found for field Order_Number__c in entity WorkOrder:--,10,2513,4.46,Load #14,,2626-01,Open,???,SCC_159665,SCC_2626,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,11,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2623 not found for field Order_Number__c in entity WorkOrder:--,11,4,175.0,Blast & prime,,2621-01,Open,???,SCC_159666,SCC_2621,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,12,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2623 not found for field Order_Number__c in entity WorkOrder:--,12,1,35.0,,,2621-02,Open,???,SCC_159667,SCC_2621,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,13,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
INVALID_FIELD:Foreign key external ID: scc_2622 not found for field Order_Number__c in entity WorkOrder:--,13,1,742.0,"Surface preparation will be prepared according to SSPC SP6
INVALID_FIELD:Foreign key external ID: scc_2624 not found for field Order_Number__c in entity WorkOrder:--,Apply one coat of Sherwin Williams 646 @ 4.0-6.0 mils",,2623-01,Open,???,SCC_159668,SCC_2623,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,14,Y,2023-05-22 10:15:07.963,SCC_OrderDet.csv,2023-05-22
