ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,QuoteDet_ID,LookupValForOpp,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
1,STEEL TANK 12'X8' INSIDE/OUTSIDE ONLY,1,12660,NULL,,14299,EXP,SCC_26502,SCC_14299,1,Y,13:30.3,SCC_QuoteDet.csv,11/27/2018,STANDARD
2,SERIES N140 TNEMEC TANK WHITE,20,0,NULL,NULL,14299,EXP,SCC_26503,SCC_14299,2,Y,13:30.3,SCC_QuoteDet.csv,11/27/2018,STANDARD
1,"8"" SPOOL PIECES",24,105,NULL,,14300,EXP,SCC_26504,SCC_14300,3,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
2,SERIES N69 TNEMEC,2,50,NULL,NULL,14300,EXP,SCC_26505,SCC_14300,4,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
3,SERIES 73 TNEMEC,2,65,NULL,,14300,EXP,SCC_26506,SCC_14300,5,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
1,"2"" CARBON STEEL 45* ELBOW OUTSIDE ONLY",2,75,NULL,,14301,EXP,SCC_26516,SCC_14301,11,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
2,"2"" CARBON STEEL 90* ELBOW OUTSIDE ONLY",2,75,NULL,,14301,EXP,SCC_26517,SCC_14301,12,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
3,"2""X21' CARBON STEEL SPOOL OUTSIDE ONLY",3,126,NULL,,14301,EXP,SCC_26518,SCC_14301,13,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
4,EPA,1,33.9,NULL,,14301,EXP,SCC_26519,SCC_14301,14,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
5,SERIES N140 TNEMEC TANK WHITE,4,0,NULL,NULL,14301,EXP,SCC_26520,SCC_14301,15,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
1,"2"" CARBON STEEL 45* ELBOW INSIDE ONLY",2,75,NULL,,14302,EXP,SCC_26511,SCC_14302,6,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
2,"2"" CARBON STEEL 90* ELBOW INSIDE ONLY",2,75,NULL,,14302,EXP,SCC_26512,SCC_14302,7,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
3,"2""X21' CARBON STEEL SPOOL INSIDE ONLY",3,252,NULL,,14302,EXP,SCC_26513,SCC_14302,8,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
4,EPA,1,52.8,NULL,,14302,EXP,SCC_26514,SCC_14302,9,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
5,SERIES N140 TNEMEC TANK WHITE,4,0,NULL,NULL,14302,EXP,SCC_26515,SCC_14302,10,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
1,"SCH 40 SPOOL FLGXFLG 8""X1'7""",2,190,NULL,,14303,EXP,SCC_27196,SCC_14303,271,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
2,"SCH 40 SPOOL FLGXFLG 8""X2'",2,230,NULL,,14303,EXP,SCC_27197,SCC_14303,272,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
3,"SCH 40 SPOOL FLGXFLG 8""X3'4""",1,350,NULL,,14303,EXP,SCC_27198,SCC_14303,273,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
4,"SCH 40 SPOOL FLGXFLG 8""X8'4""",1,710,NULL,,14303,EXP,SCC_27199,SCC_14303,274,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
5,"SCH 40 SPOOL FLGXFLG 8""X2'4""",1,260,NULL,,14303,EXP,SCC_27200,SCC_14303,275,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
6,EPA,1,96.5,NULL,,14303,EXP,SCC_27201,SCC_14303,276,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
1,"8"" SPOOL PIECES",56,105,NULL,,14305,EXP,SCC_28093,SCC_14305,448,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
2,SERIES N69 TNEMEC,5,50,NULL,NULL,14305,EXP,SCC_28094,SCC_14305,449,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
3,SERIES 73 TNEMEC,5,65,NULL,,14305,EXP,SCC_28095,SCC_14305,450,Y,13:30.3,SCC_QuoteDet.csv,12/10/2018,STANDARD
1,"22"" ELBOW 90* FLGXFLG INSIDE ONLY",2,150,NULL,,14306,EXP,SCC_26614,SCC_14306,16,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
2,"PIPE SPOOL 22""X17.5' FLGXFLG INSIDE ONLY",1,855,NULL,,14306,EXP,SCC_26615,SCC_14306,17,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
3,"PIPE SPOOL 22""X16' FLGXFLG INSIDE ONLY",1,785,NULL,,14306,EXP,SCC_26616,SCC_14306,18,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
4,"24"" ELBOW 90* W/ REDUCER FLGXFLG INSIDE ONLY",1,175,NULL,,14306,EXP,SCC_26617,SCC_14306,19,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
5,"PIPE SPOOL 24""X9' FLGXFLG INSIDE ONLY",1,500,NULL,,14306,EXP,SCC_26618,SCC_14306,20,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
6,"24"" ELBOW 90* FLGXFLG INSIDE ONLY",1,150,NULL,,14306,EXP,SCC_26619,SCC_14306,21,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
7,"PIPE SPOOL 24""X15' FLGXFLG INSIDE ONLY",1,855,NULL,,14306,EXP,SCC_26620,SCC_14306,22,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
8,"PIPE SPOOL 24""X2' FLGXFLG INSIDE ONLY",2,100,NULL,,14306,EXP,SCC_26621,SCC_14306,23,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
9,"PIPE SPOOL 16""X2' FLGXFLG INSIDE ONLY",2,100,NULL,,14306,EXP,SCC_26622,SCC_14306,24,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
10,"PIPE SPOOL 10""X2' FLGXFLG INSIDE ONLY",2,100,NULL,,14306,EXP,SCC_26623,SCC_14306,25,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
11,"PIPE SPOOL 10""X6'5"" FLGXFLG INSIDE ONLY",2,185,NULL,,14306,EXP,SCC_26624,SCC_14306,26,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
12,"PIPE SPOOL 10""X2'6"" FLGXFLG INSIDE ONLY",2,100,NULL,,14306,EXP,SCC_26625,SCC_14306,27,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
13,"PIPE SPOOL 16""X40' FLGXFLG INSIDE ONLY",1,1400,NULL,,14306,EXP,SCC_26626,SCC_14306,28,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
14,"PIPE SPOOL 16""X28' FLGXFLG INSIDE ONLY",1,985,NULL,,14306,EXP,SCC_26627,SCC_14306,29,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
15,"16"" REDUCER FLGXFLG INSIDE ONLY",2,100,NULL,,14306,EXP,SCC_26628,SCC_14306,30,Y,13:30.3,SCC_QuoteDet.csv,12/11/2018,STANDARD
