Error,,APContact,BAddr1,BAddr2,BCity,BState,BZIPCode,Phone,Website,CustName,CustCode,CustCode_ID,PreviousModDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,LoadForCompany
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,0,Julie Worthington,450 E. Pima Street| 2,,Phoenix,AZ,85004,602.606.7658,,Denali MetalWorks,DENALI METAL,DCS_1073,2023-04-20,3,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,1,,2526 E. Southern Ave.,,Phoenix,AZ,85040,480-340-2634,,Gothic Landscape,GOTHIC LANDS,DCS_1568,2023-04-14,4,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,2,Kate Gerber,8828 S. Hardy Drive 105,,Tempe,AZ,85284,480-785-0030,,Interstate Packaging Group| Inc.,INTERSTATE P,DCS_1774,2023-04-14,5,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,3,AP,8303 E. Pecos Road,,Mesa,AZ,85212,480-497-3140,,K.T. Fabrication| Inc,KT FABRICATI,DCS_2450,2023-04-05,6,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,4,A/P,2310 West Mcdowell Rd.,,Phoenix,AZ,85009,602-252-3500,,Purcell Tire,PURCELL TIRE,DCS_3469,2023-04-05,7,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,5,ap@shadeindustries.com,3814 S. 16th St,,Phoenix,AZ,85040,480-966-3104,,Shade Industries,SHADE INDUST,DCS_4002,2023-04-20,8,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,6,Tari Bartee,P. O Box 6254,,Goodyear,AZ,85338,602-540-8135,,Bar - T Equipment,BAR - T EQUI,DCS_424,2023-04-12,1,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,7,ap,1725 West 10th Place,,Tempe,AZ,85281,6023239125,,Tru-Stop Inc,TRU-STOP INC,DCS_4497,2023-04-14,9,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,8,,,,,  ,,480-202-6953,,TYR Tactical,TYR TACTICAL,DCS_4513,2023-04-17,10,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
INVALID_FIELD:Field name provided  Id is not an External ID or indexed field for User:--,9,Accounts Payable,Ultimate Shade Alternatives402 W. Gemini Dr.,402 W. Gemini Dr.,Tempe,AZ,85283,(480) 775-7245,,Ultimate Shade Alternatives| I,ULTIMATE SHA,DCS_4519,2023-04-04,11,Y,2023-04-21 06:38:50.900,DCS_Customer.csv,DESERT
