Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,0,30,52.5,"126"" x 3"" x 2 1/4"" x 1/16""",,88560-01,Open,???,DCS_467573,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,1,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,1,8,3.75,"15 1/4"" x 9"" x 1 1/2"" x 1/16""",,88560-02,Open,???,DCS_467574,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,2,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,2,2,2.3,"11"" x 2 1/2"" x 1 1/2"" x 1/16""",,88560-03,Open,???,DCS_467575,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,3,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,3,4,5.3,"24"" x 2 1/2"" x 1 3/4"" x 1/16""",,88560-04,Open,???,DCS_467576,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,4,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,4,3,16.0,"68"" x 3"" x 1 3/4"" x 1/16""",,88560-05,Open,???,DCS_467577,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,5,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,5,1,0.0,Cardinal 7760-4702 Series Gray Epoxy Hybrid Primer 1 Gallon,,88560-06,Open,???,DCS_467578,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,6,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,6,1,0.0,Royal Oaks Brown,,88560-07,Open,???,DCS_467579,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,7,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88560 not found for field Order_Number__c in entity WorkOrder:--,7,1,83.94,5% Environmental Fee,,88560-08,Open,???,DCS_467580,DCS_88560,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,8,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,20,6,0.0,"31 1/2 x 9 1/2"" x 1/16""",,88559-01,Open,???,DCS_467593,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,21,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,21,1,150.0,,,88559-02,Open,???,DCS_467594,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,22,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,22,1,75.0,,,88559-03,Open,???,DCS_467595,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,23,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,23,2,0.0,Vitracoat RAL 7030 Stone Gray PMS 416 Poly SD #ZGR233782,,88559-04,Open,???,DCS_467596,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,24,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,24,2,0.0,IFS Satin Clear (PRSM90307CN),,88559-05,Open,???,DCS_467597,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,25,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
INVALID_FIELD:Foreign key external ID: dcs_88559 not found for field Order_Number__c in entity WorkOrder:--,25,1,11.25,5% Environmental Fee,,88559-06,Open,???,DCS_467598,DCS_88559,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,26,Y,2023-04-21 16:18:17.417,DCS_OrderDet.csv,2023-04-21
