Error,,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,4,2,0.0,"112"" x 2"" x 2""",,89415-01,Closed,???,DCS_469255,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,5,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,5,2,0.0,"5"" x 1"" x 1/8""",,89415-02,Closed,???,DCS_469256,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,6,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,6,2,0.0,"116"" x 18"" x 1""",,89415-03,Closed,???,DCS_469257,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,7,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,7,1,0.0,"43"" x 4"" x 2""",,89415-04,Closed,???,DCS_469258,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,8,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,8,1,0.0,"71 1/2"" x 6 1/4"" x 2""",,89415-05,Closed,???,DCS_469259,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,9,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,9,1,0.0,"45 1/4"" x 11 1/2"" x 1""",,89415-06,Closed,???,DCS_469260,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,10,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,10,1,0.0,"45"" x 5 1/2"" x 1/8""",,89415-07,Closed,???,DCS_469261,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,11,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,11,1,0.0,"5"" x 5"" x 3/8""",,89415-08,Closed,???,DCS_469262,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,12,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,12,2,0.0,"23 1/8"" x 1/4""dia",,89415-09,Closed,???,DCS_469263,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,13,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,13,1,0.0,"47 1 /2"" x 6"" x 43""",,89415-10,Closed,???,DCS_469264,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,14,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,14,1,0.0,"45"" x 38 1/2"" x 1""",,89415-11,Closed,???,DCS_469265,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,15,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,15,2,0.0,"48"" x 30 1/2"" x 1""  w/handle 5 1/2"" x 1 1/2""",,89415-12,Closed,???,DCS_469266,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,16,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,16,1,970.0,,,89415-13,Closed,???,DCS_469267,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,17,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,17,4,0.0,Vitracoat Sky White 18818 PBL20200-1 TGIC Polyester 55 pound box,,89415-14,Closed,???,DCS_469268,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,18,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_89415 not found for field Order_Number__c in entity WorkOrder:--,18,1,48.5,5% Environmental Fee,,89415-15,Closed,???,DCS_469269,DCS_89415,02iDn000000AXurIAG,01uDn000003d5aFIAQ,TEFLON,19,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_88633 not found for field Order_Number__c in entity WorkOrder:--,89,2,0.0,"25"" x 27 1/2"" x 1 1/2""",,88633-01,Open,???,DCS_469340,DCS_88633,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,90,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
INVALID_FIELD:Foreign key external ID: dcs_88633 not found for field Order_Number__c in entity WorkOrder:--,90,1,0.0,"36"" x 36"" x 1 1/4""",,88633-02,Open,???,DCS_469341,DCS_88633,02iDn000000AXurIAG,01uDn000003d5aFIAQ,POWDER,91,Y,2023-05-02 14:05:43.843,DCS_OrderDet.csv,2023-05-02
