Error,,ItemNo,PartNo,Qty1,Qty2,Qty3,Qty4,Qty5,Qty6,Qty7,Qty8,Price1,Price2,Price3,Price4,Price5,Price6,Price7,Price8,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: scc_14344 not found for field E2_Quote_Key__c in entity Opportunity:--,339,5,SG2500 SERIES ERGONARMOR,30.0,,,,,,,,67.0,,,,,,,,,,14336,EXP,ErgonArmor SG2500 Polymide Epoxy High-Build,SCC_27236,SCC_14336,DUMMY,304,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-02-05,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14344 not found for field E2_Quote_Key__c in entity Opportunity:--,340,1,"PIPE SPOOL 18""X18'",1.0,,,,,,,,1865.0,,,,,,,,,,14337,EXP,"Sandblast, Line W/ SG2500, Prime OD",SCC_27242,SCC_14337,DUMMY,305,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-02-05,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14344 not found for field E2_Quote_Key__c in entity Opportunity:--,341,2,"PIPE SPOOL 24""X2'6""",2.0,,,,,,,,345.0,,,,,,,,,,14337,EXP,"Sandblast, Line W/ SG2500, Prime OD",SCC_27243,SCC_14337,DUMMY,306,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-02-05,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14344 not found for field E2_Quote_Key__c in entity Opportunity:--,342,3,"PIPE SPOOL 20""X2'9""",1.0,,,,,,,,315.0,,,,,,,,,,14337,EXP,"Sandblast, Line W/ SG2500, Prime OD",SCC_27244,SCC_14337,DUMMY,307,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-02-05,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14421 not found for field E2_Quote_Key__c in entity Opportunity:--,Part A and Part B, 2 or 10 Ga",SCC_28844,SCC_14403,LIQUID,908,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-23,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14421 not found for field E2_Quote_Key__c in entity Opportunity:--,911,1,"78"" JOINT FIXTURE",5.0,,,,,,,,615.0,,,,,,,,1271-01,,14404,WON,"Grind Current Coating (12"" Wide Grinding Area)
INVALID_FIELD:Foreign key external ID: scc_14434 not found for field E2_Quote_Key__c in entity Opportunity:--,936,7,"PIPE U-SPOOL 16""X15' OD ONLY",1.0,,,,,,,,850.0,,,,,,,,,,14408,EXP,,SCC_28925,SCC_14408,LIQUID,934,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,937,8,"SPOOL ELBOW 16""X5' OD ONLY",1.0,,,,,,,,175.0,,,,,,,,,,14408,EXP,,SCC_28926,SCC_14408,LIQUID,935,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,938,9,"SPOOL T 16""X5' OD ONLY",1.0,,,,,,,,225.0,,,,,,,,,,14408,EXP,,SCC_28927,SCC_14408,LIQUID,936,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,939,10,"SPOOL T 20""X5' OD ONLY",1.0,,,,,,,,225.0,,,,,,,,,,14408,EXP,,SCC_28928,SCC_14408,LIQUID,937,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,940,11,"SPOOL ELBOW 20""X6' OD ONLY",1.0,,,,,,,,240.0,,,,,,,,,,14408,EXP,,SCC_28929,SCC_14408,LIQUID,938,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_14435 not found for field E2_Quote_Key__c in entity Opportunity:--,941,12,"SPOOL REDUCER 10""X2' OD ONLY",1.0,,,,,,,,100.0,,,,,,,,,,14408,EXP,,SCC_28930,SCC_14408,LIQUID,939,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2019-08-28,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply two of Sherwin ",SCC_39521,SCC_15003,LIQUID,3664,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3688,2,WATER TOWER STEM EXTERIOR,1.0,,,,,,,,2452.63,,,,,,,,,,15003,EXP,"Surface preparation will be prepared according to SSPC SP6
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of She",SCC_39522,SCC_15003,LIQUID,3665,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3689,3,MACROPOXY 646 FC SHERWIN,22.0,,,,,,,,0.0,,,,,,,,,,15003,EXP,Sherwin Williams Macropoxy 646 Fast Cure Polyamide Epoxy Two Gallon Kit,SCC_39523,SCC_15003,LIQUID,3666,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3690,4,STEEL SPEC EPOXY PRIMER,10.0,,,,,,,,0.0,,,,,,,,,,15003,EXP,,SCC_39524,SCC_15003,LIQUID,3667,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,3691,1,"STRUCTURAL STEEL, PRICE IS PER SQFT",1.0,,,,,,,,1.76,,,,,,,,,,15004,EXP,"Surface preparation will be prepared according to SSPC SP2
INVALID_FIELD:Foreign key external ID: scc_15283 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of She",SCC_39507,SCC_15004,LIQUID,3651,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3711,4,TREE 4  TOP ASSY,1.0,,,,,,,,1750.0,,,,,,,,,,15018,EXP,,SCC_39593,SCC_15018,LIQUID,3690,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-08-15,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3712,5,TREE 5 TOP ASSY,1.0,,,,,,,,1750.0,,,,,,,,,,15018,EXP,,SCC_39594,SCC_15018,LIQUID,3691,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-08-15,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3713,6,SERIES 90-97 TNEMEC,6.0,,,,,,,,0.0,,,,,,,,,,15018,EXP,"Tnemec Series 90-97 Reddish-gray Two-component, Moisture-cured, Zinc-Rich Primer",SCC_39595,SCC_15018,LIQUID,3692,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-08-15,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15304 not found for field E2_Quote_Key__c in entity Opportunity:--,3714,7,SERIES N69 TNEMEC,6.0,,,,,,,,0.0,,,,,,,,,"Colors in Stock: Hazelnut, Blue, Barnwood, Envy, Lt Gray",15018,EXP,Tnemec Series N69 Polyamidoamine Epoxy 2 Gallon Kit,SCC_39596,SCC_15018,LIQUID,3693,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-08-15,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15343 not found for field E2_Quote_Key__c in entity Opportunity:--,3775,1,SIGN 1'X1',300.0,,,,,,,,65.0,,,,,,,,,,15051,EXP,"Chemical Clean, Prime, Top coat, and clear coat",SCC_39762,SCC_15051,LIQUID,3758,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-09-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15343 not found for field E2_Quote_Key__c in entity Opportunity:--,3776,2,MACROPOXY 646 SHERWIN,6.0,,,,,,,,0.0,,,,,,,,,2 PART COMPONETS  - PART A #B58-600 AND PART B #B58V600,15051,EXP,SHERWIN WILLIAMS MACROPROXY 646,SCC_39763,SCC_15051,LIQUID,3759,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-09-20,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3783,1,TREE 1 TOP ASSY,1.0,,,,,,,,6125.0,,,,,,,,,,15057,EXP,,SCC_39777,SCC_15057,LIQUID,3767,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-09-30,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3784,2,TREE 2 TOP ASSY,1.0,,,,,,,,6125.0,,,,,,,,,,15057,EXP,,SCC_39778,SCC_15057,LIQUID,3768,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-09-30,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15354 not found for field E2_Quote_Key__c in entity Opportunity:--,3785,3,TREE 3 TOP ASSY,1.0,,,,,,,,6125.0,,,,,,,,,,15057,EXP,,SCC_39779,SCC_15057,LIQUID,3769,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-09-30,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15357 not found for field E2_Quote_Key__c in entity Opportunity:--,3790,8,SERIES 1075U TNEMEC,6.0,,,,,,,,200.0,,,,,,,,,"COLORS ON HAND AS OF 04/21/2020: 2 GL DESERT SAND, 1/2 GL LEMON YELLOW, 1/2 GL MIDTONE",15057,EXP,"Tnemec Endura-Shield II Series 1075U Aliphatic Acrylic Polyurethane Semi Gloss
INVALID_FIELD:Foreign key external ID: scc_15357 not found for field E2_Quote_Key__c in entity Opportunity:--,
INVALID_FIELD:Foreign key external ID: scc_15365 not found for field E2_Quote_Key__c in entity Opportunity:--,3798,1,COLD HEAT EXCHANGER STRUCTURAL STEEL,1.0,,,,,,,,1350.0,,,,,,,,,,15061,EXP,"Surface preparation will be prepared according to SSPC SP6 
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of No",SCC_39844,SCC_15071,LIQUID,3801,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-10-21,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,3819,1,STRUCTURAL STEEL PRICE IS PER SQFT,1.0,,,,,,,,4.86,,,,,,,,,,15072,EXP,"Surface preparation will be prepared according to SSPC SP6
INVALID_FIELD:Foreign key external ID: scc_15387 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat of PPG",SCC_39846,SCC_15072,LIQUID,3802,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-10-25,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15410 not found for field E2_Quote_Key__c in entity Opportunity:--,3850,1,ONE LARGE SKID,1.0,,,,,,,,2000.0,,,,,,,,2244-01,,15090,WON,Bast prime & finish coat,SCC_39913,SCC_15090,LIQUID,3831,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-13,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15410 not found for field E2_Quote_Key__c in entity Opportunity:--,3851,2,ONE SMALL SKID,1.0,,,,,,,,850.0,,,,,,,,2244-02,,15090,WON,Blast prime & finish coat,SCC_39914,SCC_15090,LIQUID,3832,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-13,STANDARD
INVALID_FIELD:Foreign key external ID: scc_15410 not found for field E2_Quote_Key__c in entity Opportunity:--,3852,1,SKIDS,2.0,,,,,,,,4285.0,,,,,,,,2245-01,,15091,WON,"Surface preparation will be prepared according to SSPC SP2
INVALID_FIELD:Foreign key external ID: scc_15410 not found for field E2_Quote_Key__c in entity Opportunity:--,Apply one coat ppg Am",SCC_39917,SCC_15091,DUMMY,3833,Y,2023-05-19 16:53:27.340,SCC_QuoteDet.csv,2022-07-13,STANDARD
