,QUOTE_TO,Addr1,Addr2,City,st,Zip,QuoteNo,DateENT,E2_Customer_Key,QuotedBy,ShipVia,ContactName,InqNum,TermsCode,Phone,FAX,Total,E2_Quote_Key,RecordTypeId,Name,StageName,CloseDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
0,,"
",,Walk,IN,,DCS_1,2014-08-15,DCS_417,0,,,,,,,Formula for Total??,DCS_1, ,,Quote,2014-09-14,2,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-15,DESERT
1,RDX Technologies,"14555 N. 82nd St.
",,Scottsdale,AZ,85260,DCS_10000,2014-07-28,DCS_3564,0,,Detra Rawlins,,NET 30,480-272-9913,,Formula for Total??,DCS_10000, ,RDX Technologies - 10000,Quote,2014-08-27,3,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-07-30,DESERT
2,John Doe,"
",,,  ,,DCS_10001,2014-07-30,DCS_2110,0,,,,,,,Formula for Total??,DCS_10001, ,John Doe - 10001,Quote,2014-08-29,4,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-07-30,DESERT
3,Sumco Southwest,"19801 N. Tatum Blvd.
",,Phoenix,AZ,85050,DCS_10003,2014-08-05,DCS_4232,0,,,,NET 30,(480) 473-6000,(480) 473-6100,Formula for Total??,DCS_10003, ,Sumco Southwest - 10003,Quote,2014-09-04,5,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-05,DESERT
4,Desert Powder,"
",,,  ,,DCS_10004,2014-08-05,DCS_5082,0,,,,DUE ON RECEI,,,Formula for Total??,DCS_10004, ,Desert Powder - 10004,Quote,2014-09-04,6,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2022-04-18,DESERT
5,Magnum Engineering Inc.,"Gregory Brockman
Magnum Engineering Inc.",Magnum Engineering Inc.,,  ,,DCS_10005,2014-08-05,DCS_2652,0,,Karen,,NET 30,(602) 272-3600,(602) 272-6980,Formula for Total??,DCS_10005, ,Magnum Engineering Inc. - 10005,Quote,2014-09-04,7,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-06,DESERT
6,Magnum Engineering Inc.,"Gregory Brockman
Magnum Engineering Inc.",Magnum Engineering Inc.,,  ,,DCS_10006,2014-08-05,DCS_2652,0,,Karen,,NET 30,(602) 272-3600,(602) 272-6980,Formula for Total??,DCS_10006, ,Magnum Engineering Inc. - 10006,Quote,2014-09-04,8,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-05,DESERT
7,Triangle Sheet Metal,"8555 N 79th Ave
",,Peoria,AZ,85345,DCS_10007,2014-08-08,DCS_4478,0,,Peggy,,DUE ON RECEI,623-878-8030,623-878-8094,Formula for Total??,DCS_10007, ,Triangle Sheet Metal - 10007,Quote,2014-09-07,9,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-08-08,DESERT
8,Ashercole                     ,"1146 W. Hilton Ave            
                              ",                              ,Phoenix             ,AZ,85007     ,DCS_10008,2014-08-08,DCS_353,0,                              ,Ryan Perlman,                              ,DUE ON RECEI,602 252-7560        ,602-252-4365        ,Formula for Total??,DCS_10008, ,Ashercole                      - 10008,Quote,2014-09-07,10,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2021-06-22,DESERT
9,Imcor,"1841 E. Washington Street
",,Phoenix,AZ,85034,DCS_10010,2014-08-15,DCS_1744,0,,Megan,,NET 30,602-257-1319,,Formula for Total??,DCS_10010, ,Imcor - 10010,Quote,2014-09-14,11,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-11-15,DESERT
10,Stan Gerstenschlager,"
",,,  ,,DCS_10011,2014-08-18,DCS_1772,0,,,,DUE ON RECEI,(602) 292-5049,,Formula for Total??,DCS_10011, ,Stan Gerstenschlager - 10011,Quote,2014-09-17,12,Y,2023-04-14 08:43:15.983,DCS_Quote.csv,2014-09-10,DESERT
