Error,﻿SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
DUPLICATE_VALUE:Duplicate external id specified: 40066:Order_Number__c --,"Dadee Manufacturing, Llc","Dadee Manufacturing, Llc",1824 W. Broadway  ,,Phoenix,AZ,85041,40066,11/13/2014,"Dadee Manufacturing, Llc",Rework,,NET 45,FOB???,DCS_940,DCS_940,,11719,Y,01:49.6,DCS_Order.csv,NULL
DUPLICATE_VALUE:Duplicate external id specified: 40066:Order_Number__c --,"Dadee Manufacturing, LLC","Dadee Manufacturing, Llc",1824 W. Broadway  ,,Phoenix,AZ,85041,40066,7/30/2015,"Dadee Manufacturing, LLC",10513 / 10516,N/A,NET 45,FOB???,DCS_940,DCS_940,,11721,Y,01:49.6,DCS_Order.csv,NULL
DUPLICATE_VALUE:Duplicate external id specified: 40063:Order_Number__c --,"Dadee Manufacturing, LLC","Dadee Manufacturing, Llc",1824 W. Broadway  ,,Phoenix,AZ,85041,40063,7/31/2015,"Dadee Manufacturing, LLC",,N/A,NET 45,FOB???,DCS_940,DCS_940,,12261,Y,01:49.6,DCS_Order.csv,NULL
DUPLICATE_VALUE:Duplicate external id specified: 40063:Order_Number__c --,"Dadee Manufacturing, Llc","Dadee Manufacturing, Llc",1824 W. Broadway  ,,Phoenix,AZ,85041,40063,11/13/2014,"Dadee Manufacturing, Llc",7451,,NET 45,FOB???,DCS_940,DCS_940,,12262,Y,01:49.6,DCS_Order.csv,NULL
DUPLICATE_VALUE:Duplicate external id specified: 50009:Order_Number__c --,"Dadee Manufacturing, LLC","Dadee Manufacturing, Llc      ",1824 W. Broadway                                              ,                              ,Phoenix             ,AZ,85041,50009,11/4/2016,"Dadee Manufacturing, LLC",Rework                        ,N/A                           ,NET 45,FOB???,DCS_940,DCS_940,            ,15726,Y,01:49.6,DCS_Order.csv,11/8/2016
DUPLICATE_VALUE:Duplicate external id specified: 50009:Order_Number__c --,"Dadee Manufacturing, Llc","Dadee Manufacturing, Llc",1824 W. Broadway  ,,Phoenix,AZ,85041,50009,2/18/2015,"Dadee Manufacturing, Llc",8371,,NET 45,FOB???,DCS_940,DCS_940,,15728,Y,01:49.6,DCS_Order.csv,2/23/2015
DUPLICATE_VALUE:Duplicate external id specified: 39976:Order_Number__c --,"K.T. Fabrication, Inc","K.T. Fabrication, Inc",501 E. Comstock Drive  ,,Chandler,AZ,85225,39976,7/28/2015,"K.T. Fabrication, Inc",1026911,,NET 30,FOB???,DCS_2450,DCS_2450,10607HD,24335,Y,01:49.6,DCS_Order.csv,8/3/2015
DUPLICATE_VALUE:Duplicate external id specified: 39976:Order_Number__c --,"K.T. Fabrication, Inc","K.T. Fabrication, Inc",501 E. Comstock Drive  ,,Chandler,AZ,85225,39976,7/28/2015,"K.T. Fabrication, Inc",1026911,,NET 30,FOB???,DCS_2450,DCS_2450,10607HD,24349,Y,01:49.6,DCS_Order.csv,8/3/2015
DUPLICATE_VALUE:Duplicate external id specified: 36590:Order_Number__c --,Lani Mclure,lAN Mclure,  ,,,  ,,36590,1/19/2015,Lani Mclure,,,DUE ON RECEI,FOB???,DCS_2483,DCS_2483,10268,25959,Y,01:49.6,DCS_Order.csv,2/11/2015
DUPLICATE_VALUE:Duplicate external id specified: 36590:Order_Number__c --,,,9817 E Ironwood Dr.  ,,Scottsdale,AZ,85258,36590,1/19/2015,,,,DUE ON RECEI,FOB???,DCS_2483,DCS_2483,10268,25960,Y,01:49.6,DCS_Order.csv,2/11/2015
