Error,,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
INVALID_FIELD:Foreign key external ID: dcs_10044 not found for field E2_Quote_Key__c in entity Opportunity:--,148,2,EPA,1.0,75.0,10659/38885-02,,10043,WON,,DCS_149,DCS_10043,DUMMY,149,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10056 not found for field E2_Quote_Key__c in entity Opportunity:--,214,4,REMOVEABLE COVER,1.0,271.35,,,10053,EXP,16 Plates,DCS_215,DCS_10053,DUMMY,215,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10056 not found for field E2_Quote_Key__c in entity Opportunity:--,215,5,BOTTOM PLATES,1.0,465.75,,,10053,EXP,1 Plate,DCS_216,DCS_10053,DUMMY,216,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10056 not found for field E2_Quote_Key__c in entity Opportunity:--,216,6,EPA,1.0,495.75,,,10053,EXP,,DCS_217,DCS_10053,DUMMY,217,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10056 not found for field E2_Quote_Key__c in entity Opportunity:--,217,1,CORNERS,4.0,50.0,,,10054,EXP,,DCS_218,DCS_10054,DUMMY,218,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10056 not found for field E2_Quote_Key__c in entity Opportunity:--,218,2,STRAIGHT MOLDING 10',6.0,50.0,,,10054,EXP,,DCS_219,DCS_10054,DUMMY,219,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10057 not found for field E2_Quote_Key__c in entity Opportunity:--,219,3,EPA,1.0,25.0,,,10054,EXP,,DCS_220,DCS_10054,DUMMY,220,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10057 not found for field E2_Quote_Key__c in entity Opportunity:--,220,1,BED FRAME,1.0,300.0,11474-01,,10055,WON,4 Piece Bed Frame oil rubbed bronze 69/60040,DCS_221,DCS_10055,DUMMY,221,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10057 not found for field E2_Quote_Key__c in entity Opportunity:--,221,1,1 3/8'' X 10'6'',0.0,0.0,,,10056,,,DCS_222,DCS_10056,DUMMY,222,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
INVALID_FIELD:Foreign key external ID: dcs_10057 not found for field E2_Quote_Key__c in entity Opportunity:--,222,2,1 3/8'' X 21',0.0,0.0,,,10056,,,DCS_223,DCS_10056,DUMMY,223,Y,2023-04-18 09:02:22.550,DCS_QuoteDet.csv,,DESERT
