Error,﻿CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjIjfIAF:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39356,7/18/2018,LIQUID,DUE ON RECEI,Nofield,0,0,1685,1685,Balance Due,SCC_4890,SCC_4890,Currier Construction,NULL,P,QuoteNo,29674
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUeIAN, current value is 001Dn00000PjICDIA3:Account__c --,Castle Steel,Castle Steel,3828 N 35th Ave  ,,Phoenix,AZ,85017,39357,7/18/2018,LIQUID,DUE ON RECEI,Nofield,0,0,800,800,Balance Due,SCC_4891,SCC_4891,Castle Steel,NULL,P,QuoteNo,29675
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUfIAN, current value is 001Dn00000PjJBJIA3:Account__c --,Town Of  Payson,Town Of  Payson,303A Beeline  ,,Payson,  ,85541,39358,7/25/2018,LIQUID,DUE ON RECEI,Nofield,16.7,0,1534.7,1534.7,Balance Due,SCC_4892,SCC_4892,Town Of  Payson,NULL,P,QuoteNo,29676
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUjIAN, current value is 001Dn00000PjJBJIA3:Account__c --,"FMD Fabrication Service, LLC","FMD Fabrication Service, LLC",3401 E Weir Ave  ,,Phoenix,AZ,85040,39359,7/31/2018,LIQUID,NET 30,Nofield,0,0,3326,3326,Balance Due,SCC_4896,SCC_4896,"FMD Fabrication Service, LLC",NULL,P,QuoteNo,29677
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUmIAN, current value is 001Dn00000PjIO5IAN:Account__c --,Southwest Metalsmiths,Southwest Metalsmiths,5026 E Beverly Rd  ,,Phoenix,AZ,85044,39360,8/3/2018,LIQUID,NET 30,Nofield,0,0,2330,2330,Balance Due,SCC_4899,SCC_4899,Southwest Metalsmiths,NULL,P,QuoteNo,29678
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUoIAN, current value is 001Dn00000PjIRkIAN:Account__c --,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN",1908 N. Rosemont  ,,Mesa,AZ,85205,39361,8/2/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2000,2000,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",11:54.5,P,QuoteNo,29679
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUlIAN, current value is 001Dn00000PjIjsIAF:Account__c --,MILLING MACHINE (MMI),MILLING MACHINE (MMI),1042 S. Lewis  ,,Mesa,AZ,85210,39362,7/26/2018,LIQUID,DUE ON RECEI,Nofield,0,0,2456,2456,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),NULL,P,QuoteNo,29680
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUkIAN, current value is 001Dn00000PjJOOIA3:Account__c --,OLT Fabrication,OLT Fabrication,2301 West Broadway  ,,Phoenix,AZ,85041,39364,7/30/2018,LIQUID,NET 30,Nofield,0,0,403.02,403.02,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,19:52.4,P,QuoteNo,29681
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUiIAN, current value is 001Dn00000PjJMOIA3:Account__c --,Pioneer Equipment Inc,Pioneer Equipment Inc,3738 E Miami Ave  ,,Phoenix,AZ,85040,39365,8/1/2018,LIQUID,NET 30,Nofield,0,0,5000,5000,Balance Due,SCC_4895,SCC_4895,Pioneer Equipment Inc,NULL,P,QuoteNo,29682
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUdIAN, current value is 001Dn00000PjI2pIAF:Account__c --,Currier Construction,Currier,36N 56th st  ,,Phoenix,AZ,85034,39367,8/6/2018,LIQUID,DUE ON RECEI,Nofield,0,0,375,375,Balance Due,SCC_4890,SCC_4890,Currier Construction,NULL,P,QuoteNo,29683
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjIjyIAF:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39368,7/23/2018,LIQUID,NET 30,Nofield,0,0,2424,2424,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,NULL,P,QuoteNo,29684
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUgIAN, current value is 001Dn00000PjHrNIAV:Account__c --,Professional Piping Systems,Professional Piping Systems,406 E. Pioneer St.  ,,Phoenix,AZ,85040,39369,8/17/2018,LIQUID,NET 30,Nofield,0,0,1160,1160,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,29:08.3,P,QuoteNo,29685
INVALID_FIELD_FOR_INSERT_UPDATE:Attempting to update (as part of an upsert) parent field Account__c with new value 001Dn00000PjJUeIAN, current value is 001Dn00000PjIjtIAF:Account__c --,Castle Steel,Castle Steel,3828 N 35th Ave  ,,Phoenix,AZ,85017,39370,8/17/2018,BLAST,NET 30,Nofield,0,0,657.2,657.2,Balance Due,SCC_4891,SCC_4891,Castle Steel,29:30.5,P,QuoteNo,29686
