,CustDesc,ShipToName,SAddr1,SAddr2,SCity,SSt,SZip,InvoiceNo,InvoiceDate,Name,WorkCode,TermsCode,SubTotal,SalesTaxChgs,ShippingChgs,InvoiceTotal,AmtPaidSoFar,BalanceDue,E2_Customer_Key,E2_Customer_Key2,CustDesc,DateEnt,pymtstatus,QuoteNo,E2_Invoice__c,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
0,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39356,2018-07-18,SCC_39356 - 2018-07-18,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1685.0,1685.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29674,1,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
1,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39357,2018-07-18,SCC_39357 - 2018-07-18,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,800.0,800.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29675,2,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
2,Town Of  Payson,Town Of  Payson,"303A Beeline
",,Payson,  ,85541,SCC_39358,2018-07-25,SCC_39358 - 2018-07-25,LIQUID,DUE ON RECEI,Nofield,16.7,0.0,1534.7,1534.7,Balance Due,SCC_4892,SCC_4892,Town Of  Payson,,P,QuoteNo,SCC_29676,3,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
3,"FMD Fabrication Service, LLC","FMD Fabrication Service, LLC","3401 E Weir Ave
",,Phoenix,AZ,85040,SCC_39359,2018-07-31,SCC_39359 - 2018-07-31,LIQUID,NET 30,Nofield,0.0,0.0,3326.0,3326.0,Balance Due,SCC_4896,SCC_4896,"FMD Fabrication Service, LLC",,P,QuoteNo,SCC_29677,4,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
4,Southwest Metalsmiths,Southwest Metalsmiths,"5026 E Beverly Rd
",,Phoenix,AZ,85044,SCC_39360,2018-08-03,SCC_39360 - 2018-08-03,LIQUID,NET 30,Nofield,0.0,0.0,2330.0,2330.0,Balance Due,SCC_4899,SCC_4899,Southwest Metalsmiths,,P,QuoteNo,SCC_29678,5,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
5,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39361,2018-08-02,SCC_39361 - 2018-08-02,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",2018-08-08 15:11:54.507,P,QuoteNo,SCC_29679,6,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
6,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39362,2018-07-26,SCC_39362 - 2018-07-26,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2456.0,2456.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29680,7,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
7,OLT Fabrication,OLT Fabrication,"2301 West Broadway
",,Phoenix,AZ,85041,SCC_39364,2018-07-30,SCC_39364 - 2018-07-30,LIQUID,NET 30,Nofield,0.0,0.0,403.02,403.02,Balance Due,SCC_4897,SCC_4897,OLT Fabrication,2018-08-08 15:19:52.377,P,QuoteNo,SCC_29681,8,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
8,Pioneer Equipment Inc,Pioneer Equipment Inc,"3738 E Miami Ave
",,Phoenix,AZ,85040,SCC_39365,2018-08-01,SCC_39365 - 2018-08-01,LIQUID,NET 30,Nofield,0.0,0.0,5000.0,5000.0,Balance Due,SCC_4895,SCC_4895,Pioneer Equipment Inc,,P,QuoteNo,SCC_29682,9,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
9,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_39367,2018-08-06,SCC_39367 - 2018-08-06,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,375.0,375.0,Balance Due,SCC_4890,SCC_4890,Currier Construction,,P,QuoteNo,SCC_29683,10,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
10,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39368,2018-07-23,SCC_39368 - 2018-07-23,LIQUID,NET 30,Nofield,0.0,0.0,2424.0,2424.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29684,11,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
11,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39369,2018-08-17,SCC_39369 - 2018-08-17,LIQUID,NET 30,Nofield,0.0,0.0,1160.0,1160.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,2018-08-21 15:29:08.333,P,QuoteNo,SCC_29685,12,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
12,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39370,2018-08-17,SCC_39370 - 2018-08-17,BLAST,NET 30,Nofield,0.0,0.0,657.2,657.2,Balance Due,SCC_4891,SCC_4891,Castle Steel,2018-08-21 15:29:30.490,P,QuoteNo,SCC_29686,13,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
13,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39371,2018-08-17,SCC_39371 - 2018-08-17,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,3619.62,3619.62,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29687,14,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
14,CAPITAL ENGINEERING CO,CAPITAL ENGINEERING CO,"742 E SOUTHERN PACIFIC DRIVE
",,Phoenix,AZ,85034,SCC_39372,2018-08-02,SCC_39372 - 2018-08-02,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,5934.06,5934.06,Balance Due,SCC_4900,SCC_4900,CAPITAL ENGINEERING CO,,P,QuoteNo,SCC_29688,15,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
15,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39373,2018-08-14,SCC_39373 - 2018-08-14,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,240.0,240.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29689,16,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
16,Mountainscapers LLC.,Mountainscapers LLC.,"1312 E. Kaler Drive
",,Phoenix,AZ,85020,SCC_39374,2018-08-24,SCC_39374 - 2018-08-24,BLAST,DUE ON RECEI,Nofield,0.0,0.0,1090.0,1090.0,Balance Due,SCC_4902,SCC_4902,Mountainscapers LLC.,,P,QuoteNo,SCC_29690,17,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
17,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39375,2018-08-22,SCC_39375 - 2018-08-22,BLAST,NET 30,Nofield,0.0,0.0,660.0,660.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29691,18,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
18,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39376,2018-08-23,SCC_39376 - 2018-08-23,LIQUID,NET 30,Nofield,0.0,0.0,7995.0,7995.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29692,19,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
19,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39377,2018-08-29,SCC_39377 - 2018-08-29,LIQUID,NET 30,Nofield,0.0,0.0,8874.0,8874.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29693,20,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
20,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39378,2018-08-28,SCC_39378 - 2018-08-28,LIQUID,NET 30,Nofield,0.0,0.0,2026.5,2026.5,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29694,21,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
21,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39379,2018-09-04,SCC_39379 - 2018-09-04,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,5523.0,5523.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29695,22,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
22,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39380,2018-08-28,SCC_39380 - 2018-08-28,BLAST,NET 30,Nofield,0.0,0.0,110.0,110.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29696,23,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
23,Castle Steel,Castle Steel,"3828 N 35th Ave
",,Phoenix,AZ,85017,SCC_39381,2018-08-27,SCC_39381 - 2018-08-27,BLAST,NET 30,Nofield,0.0,0.0,330.0,330.0,Balance Due,SCC_4891,SCC_4891,Castle Steel,,P,QuoteNo,SCC_29697,24,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
24,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39382,2018-08-21,SCC_39382 - 2018-08-21,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1350.0,1350.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29698,25,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
25,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39383,2018-08-23,SCC_39383 - 2018-08-23,LIQUID,NET 30,Nofield,0.0,0.0,2625.0,2625.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29699,26,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
26,"COPPER CONSTRUCTION SERVICE,IN","COPPER CONSTRUCTION SERVICE,IN","1908 N. Rosemont
",,Mesa,AZ,85205,SCC_39384,2018-09-07,SCC_39384 - 2018-09-07,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,2000.0,2000.0,Balance Due,SCC_4901,SCC_4901,"COPPER CONSTRUCTION SERVICE,IN",,P,QuoteNo,SCC_29700,27,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
27,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39385,2018-09-11,SCC_39385 - 2018-09-11,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,1723.0,1723.0,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29701,28,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
28,Pioneer Equipment Inc,Pioneer Equipment Inc,"3738 E Miami Ave
",,Phoenix,AZ,85040,SCC_39386,2018-09-17,SCC_39386 - 2018-09-17,LIQUID,NET 30,Nofield,0.0,0.0,3990.0,3990.0,Balance Due,SCC_4895,SCC_4895,Pioneer Equipment Inc,,P,QuoteNo,SCC_29702,29,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
29,MILLING MACHINE (MMI),MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_39387,2018-09-17,SCC_39387 - 2018-09-17,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,6063.3,6063.3,Balance Due,SCC_4898,SCC_4898,MILLING MACHINE (MMI),,P,QuoteNo,SCC_29703,30,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
30,TALIS CONSTRUCTION,TALIS CONSTRUCTION,"2342 S McClintock Dr
",,TEMPE,AZ,85282,SCC_39388,2018-09-14,SCC_39388 - 2018-09-14,LIQUID,DUE ON RECEI,Nofield,0.0,0.0,950.0,950.0,Balance Due,SCC_4906,SCC_4906,TALIS CONSTRUCTION,,P,QuoteNo,SCC_29704,31,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
31,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39389,2018-09-12,SCC_39389 - 2018-09-12,LIQUID,NET 30,Nofield,0.0,0.0,2670.0,2670.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29705,32,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
32,Professional Piping Systems,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_39390,2018-09-18,SCC_39390 - 2018-09-18,LIQUID,NET 30,Nofield,0.0,0.0,7287.0,7287.0,Balance Due,SCC_4893,SCC_4893,Professional Piping Systems,,P,QuoteNo,SCC_29706,33,Y,2023-04-14 07:42:48.687,SCC_Billing.csv,2020-01-28
