,SoldTo,ShipToName,ShipAddr1,ShipAddr2,ShipCity,ShipSt,ShipZIP,OrderNo,DateENT,Customer,PONum,ShipVia,TermsCode,FOB,E2_Customer_Key,E2_Customer_Key2,QuoteNo,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
0,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_63643,2018-07-18,Currier Construction,,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,1,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-07-18
1,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1006,2018-07-01,Currier Construction,18997,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,2,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-08-10
2,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1014,2018-08-02,Currier Construction,S117-118PRVV115,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,3,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-08-23
3,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1013,2018-08-02,Currier Construction,VOID,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,4,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-08-10
4,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1056,2018-10-01,Currier Construction,N/A,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,5,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-10-05
5,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1051,2018-09-25,Currier Construction,,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,6,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-10-03
6,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1076,2018-10-26,Currier Construction,CGTF MODIFICATION,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,7,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-10-30
7,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1094,2018-11-09,Currier Construction,N/A,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,8,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-11-13
8,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1112,2018-11-21,Currier Construction,5989,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,9,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-11-27
9,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1118,2018-11-26,Currier Construction,N/A,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,10,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2018-11-30
10,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1219,2019-03-07,Currier Construction,City of Goodyear Coating Repai,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,11,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-03-11
11,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1221,2019-03-15,Currier Construction,CWTP CIP Basin,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,12,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-03-19
12,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1253,2019-04-18,Currier Construction,S18-215,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,13,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-04-18
13,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1264,2019-05-15,Currier Construction,S-17-111,,NET 30,FOB???,SCC_4890,SCC_4890,,14,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-05-17
14,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1270,2019-05-15,Currier Construction,S-18215,,NET 30,FOB???,SCC_4890,SCC_4890,,15,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-05-17
15,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1474,2020-01-13,Currier Construction,S19-316,,NET 30,FOB???,SCC_4890,SCC_4890,,16,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-20
16,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1482,2020-01-20,Currier Construction,S19-316 Desert Mtn 92B,,NET 30,FOB???,SCC_4890,SCC_4890,,17,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-28
17,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1488,2020-01-31,Currier Construction,S17-123 Kinney Strainerr,,NET 30,FOB???,SCC_4890,SCC_4890,,18,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-03
18,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1493,2020-02-03,Currier Construction,S19-311,,NET 30,FOB???,SCC_4890,SCC_4890,,19,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-11
19,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1504,2020-02-19,Currier Construction,S19-311,,NET 30,FOB???,SCC_4890,SCC_4890,,20,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-21
20,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1521,2020-03-16,Currier Construction,S19-316-09000-003,,NET 30,FOB???,SCC_4890,SCC_4890,14571,21,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-03-30
21,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1523,2020-03-13,Currier Construction,N/A,,NET 30,FOB???,SCC_4890,SCC_4890,,22,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-03-25
22,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1548,2020-04-10,Currier Construction,S19-311 Connex Box,,NET 30,FOB???,SCC_4890,SCC_4890,,23,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-04-10
23,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1233,2019-04-04,Currier Construction,City of Goodyear-Additional,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,24,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-04-04
24,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1238,2019-04-13,Currier Construction,Chaparral Project WTP,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,25,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-11-11
25,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1320,2019-07-15,Currier Construction,S18-2017,,DUE ON RECEI,FOB???,SCC_4890,SCC_4890,,26,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-07-15
26,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1335,2019-07-31,Currier Construction,S18-208,,NET 30,FOB???,SCC_4890,SCC_4890,14424,27,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-08-08
27,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1352,2019-08-30,Currier Construction,S18-205,,NET 30,FOB???,SCC_4890,SCC_4890,14457,28,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-10-16
28,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1354,2019-09-10,Currier Construction,S17-121,,NET 30,FOB???,SCC_4890,SCC_4890,,29,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-09-12
29,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1374,2019-10-16,Currier Construction,S18-204,,NET 30,FOB???,SCC_4890,SCC_4890,14480,30,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-10-22
30,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2468,2022-12-21,Currier Construction,222207,,NET 30,FOB???,SCC_4890,SCC_4890,14959,31,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-12-27
31,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2466,2022-12-21,Currier Construction,221205,,NET 30,FOB???,SCC_4890,SCC_4890,15073,32,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-12-27
32,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2485,2023-01-03,Currier Construction,222207,,NET 30,FOB???,SCC_4890,SCC_4890,14959,33,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2023-02-06
33,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2537,2023-02-23,Currier Construction,2222-09,,NET 30,FOB???,SCC_4890,SCC_4890,15064,34,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2023-04-03
34,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1378,2019-10-18,Currier Construction,S17-123,,NET 30,FOB???,SCC_4890,SCC_4890,14456,35,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-10-25
35,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1387,2019-10-30,Currier Construction,S19-303,,NET 30,FOB???,SCC_4890,SCC_4890,14398,36,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-11-01
36,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1428,2019-12-09,Currier Construction,S19-313,,NET 30,FOB???,SCC_4890,SCC_4890,14500,37,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-01-03
37,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1283,2019-05-31,Currier Construction,S18-205,,NET 30,FOB???,SCC_4890,SCC_4890,,38,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-05-31
38,Currier Construction,Currier,"36N 56th st
",,Phoenix,AZ,85034,SCC_1282,2019-05-31,Currier Construction,S18-207,,NET 30,FOB???,SCC_4890,SCC_4890,,39,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2019-06-25
39,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1615,2020-06-29,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,,40,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-07-03
40,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1684,2020-09-16,Currier Construction,S-193-09-09000-003 Addtl.Item,,NET 30,FOB???,SCC_4890,SCC_4890,,41,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-09-23
41,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1678,2020-09-11,Currier Construction,S193-09-09000-003,,NET 30,FOB???,SCC_4890,SCC_4890,,42,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-09-23
42,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1713,2020-10-28,Currier Construction,S20102,,NET 30,FOB???,SCC_4890,SCC_4890,,43,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-11-03
43,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1723,2020-11-12,Currier Construction,S18214-09900-004,,NET 30,FOB???,SCC_4890,SCC_4890,,44,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-11-18
44,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1740,2020-11-20,Currier Construction,S20-106 SCOTTSDALE SITE 147,,NET 30,FOB???,SCC_4890,SCC_4890,,45,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-12-07
45,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1784,2020-12-31,Currier Construction,S20-107 N1BW NGTF TANK,,NET 30,FOB???,SCC_4890,SCC_4890,,46,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-01-06
46,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1783,2020-12-31,Currier Construction,S19314 CHAPARRAL WTP,,NET 30,FOB???,SCC_4890,SCC_4890,,47,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-01-06
47,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1809,2021-01-22,Currier Construction,S20106-09900-002,,NET 30,FOB???,SCC_4890,SCC_4890,,48,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-01-26
48,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1822,2021-02-06,Currier Construction,S20106-0990-002,,NET 30,FOB???,SCC_4890,SCC_4890,,49,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-02-22
49,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1823,2021-02-05,Currier Construction,S18-213,,NET 30,FOB???,SCC_4890,SCC_4890,,50,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-02-22
50,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1856,2021-02-27,Currier Construction,S20110-09000-002,,NET 30,FOB???,SCC_4890,SCC_4890,,51,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-03-03
51,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1858,2021-02-26,Currier Construction,S20107-09000-003,,NET 30,FOB???,SCC_4890,SCC_4890,,52,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-03-03
52,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1879,2021-03-05,Currier Construction,S20110-09000-002,,NET 30,FOB???,SCC_4890,SCC_4890,,53,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-03-09
53,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1889,2021-03-26,Currier Construction,S20106-09900-002,,NET 30,FOB???,SCC_4890,SCC_4890,,54,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-03-31
54,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1888,2021-03-26,Currier Construction,S20110-09000-002,,NET 30,FOB???,SCC_4890,SCC_4890,,55,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-03-31
55,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1897,2021-03-08,Currier Construction,S20106-09900-002,,NET 30,FOB???,SCC_4890,SCC_4890,,56,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-04-12
56,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1930,2021-04-28,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,,57,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-05-12
57,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1942,2021-05-19,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,14573,58,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-05-25
58,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1943,2021-05-19,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,14573,59,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-24
59,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1947,2021-05-19,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,14741,60,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-06-03
60,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1940,2021-05-13,Currier Construction,S20-111,,NET 30,FOB???,SCC_4890,SCC_4890,14727,61,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-07-07
61,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1972,2021-06-22,Currier Construction,,,NET 30,FOB???,SCC_4890,SCC_4890,14762,62,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-06-30
62,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1981,2021-06-29,Currier Construction,S20-111,,NET 30,FOB???,SCC_4890,SCC_4890,14727,63,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-24
63,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2036,2021-08-25,Currier Construction,S19317,,NET 30,FOB???,SCC_4890,SCC_4890,14646,64,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-09-01
64,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2048,2021-09-08,Currier Construction,221204-09800,,NET 30,FOB???,SCC_4890,SCC_4890,14827,65,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-06-08
65,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2044,2021-09-08,Currier Construction,220200-09900-024,,NET 30,FOB???,SCC_4890,SCC_4890,14857,66,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-02-16
66,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2081,2021-11-17,Currier Construction,S18210,,NET 30,FOB???,SCC_4890,SCC_4890,14845,67,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-11-30
67,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2094,2021-11-22,Currier Construction,S19317-09000-018,,NET 30,FOB???,SCC_4890,SCC_4890,14906,68,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-11-30
68,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1760,2020-12-04,Currier Construction,S20106-09900-002 SCOTTSDALE147,,NET 30,FOB???,SCC_4890,SCC_4890,,69,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-12-11
69,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1762,2020-12-11,Currier Construction,S20107 NIBW NGTF TANK COATING,,NET 30,FOB???,SCC_4890,SCC_4890,,70,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-12-16
70,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1770,2020-12-16,Currier Construction,S20106-09900-002 SITE 148,,NET 30,FOB???,SCC_4890,SCC_4890,,71,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-12-22
71,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2126,2022-01-12,Currier Construction,S20116-09000-006,,NET 30,FOB???,SCC_4890,SCC_4890,14848,72,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-05-04
72,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2125,2022-01-12,Currier Construction,S20116-09000-006,,NET 30,FOB???,SCC_4890,SCC_4890,14844,73,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-24
73,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2123,2022-01-11,Currier Construction,220200-09900-024,,NET 30,FOB???,SCC_4890,SCC_4890,14924,74,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-01-19
74,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2176,2022-04-18,Currier Construction,S20118-007,,NET 30,FOB???,SCC_4890,SCC_4890,15008,75,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-04-27
75,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2178,2022-04-21,Currier Construction,S20113,,NET 30,FOB???,SCC_4890,SCC_4890,15021,76,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-05-18
76,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2174,2022-04-14,Currier Construction,S20115,,NET 30,FOB???,SCC_4890,SCC_4890,,77,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-04-27
77,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1907,2021-04-19,Currier Construction,S19317-09000-018,,NET 30,FOB???,SCC_4890,SCC_4890,,78,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2021-04-27
78,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2311,2022-08-10,Currier Construction,222207-017,,NET 30,FOB???,SCC_4890,SCC_4890,15113,79,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-17
79,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2312,2022-08-10,Currier Construction,220200-024,,NET 30,FOB???,SCC_4890,SCC_4890,15122,80,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-17
80,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2322,2022-08-18,Currier Construction,22-1205 Valle Norte,,NET 30,FOB???,SCC_4890,SCC_4890,15112,81,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-30
81,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2323,2022-08-19,Currier Construction,222-206,,NET 30,FOB???,SCC_4890,SCC_4890,15128,82,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-30
82,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2246,2022-07-14,Currier Construction,S19317,,NET 30,FOB???,SCC_4890,SCC_4890,15094,83,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-08-03
83,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2252,2022-07-14,Currier Construction,222-207,,NET 30,FOB???,SCC_4890,SCC_4890,15099,84,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-07-20
84,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_2416,2022-11-07,Currier Construction,221205,,NET 30,FOB???,SCC_4890,SCC_4890,15190,85,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2022-11-14
85,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1498,2020-02-17,Currier Construction,S19-312,,NET 30,FOB???,SCC_4890,SCC_4890,14549,86,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-19
86,Currier Construction,Currier,36N 56th st,,Phoenix,AZ,85034,SCC_1497,2020-02-03,Currier Construction,S19311-05000-005,,NET 30,FOB???,SCC_4890,SCC_4890,,87,Y,2023-04-13 13:30:26.237,SCC_Order.csv,2020-02-19
