,QtyOrdered,UnitPrice,PartDesc,Revision,JobNo,Status,QuoteNo,OrderDet_ID,LookupValToOrder,DummyAssetID,DummyPriceBookID,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate
0,1,0.0,,,63643-01,Closed,???,SCC_142262,SCC_63643,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,1,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
1,1,0.0,pipe support,,63643-02,Closed,???,SCC_142263,SCC_63643,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,2,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
2,1,0.0,,,63643-03,Closed,???,SCC_142264,SCC_63643,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,3,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
3,1,0.0,,,63643-04,Closed,???,SCC_142265,SCC_63643,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,4,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
4,1,1685.0,,,63643-05,Closed,???,SCC_142266,SCC_63643,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,5,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
5,1,0.0,,,63644-01,Closed,???,SCC_142267,SCC_63644,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,6,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
6,1,0.0,,,63644-02,Closed,???,SCC_142268,SCC_63644,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,7,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
7,1,800.0,,,63644-03,Closed,???,SCC_142269,SCC_63644,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,8,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-18
8,1,1518.0,"Blast to achieve a SSPC- SP10        
 Tnemec Series 22 Epoxoline",,63645-01,Closed,???,SCC_142270,SCC_63645,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,9,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-26
9,3,0.0,"8"" x 9""",,1005-01,Closed,???,SCC_142273,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,10,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
10,3,0.0,"28"" x 23""x 2""",,1005-02,Closed,???,SCC_142274,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,11,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
11,3,0.0,,,1005-03,Closed,???,SCC_142275,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,12,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
12,3,0.0,,,1005-04,Closed,???,SCC_142276,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,13,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
13,1,0.0,"32"" x clips 57"" w 4 legs 50 1/2"" x 4""  x 1""",,1005-05,Closed,???,SCC_142277,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,14,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
14,1,0.0,"Carboline Carboguard 893 Two Component Cycloaliphatic Amine Epoxy Colors Available: Red (0500); Gray (0700); White (0800); Yellow (0600)
2 Gallon Kit",,1005-06,Closed,???,SCC_142278,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,15,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
15,1,0.0,"Carboline Carboguard 890 Two Component Cross Linked Epoxy 2 Gallon Kit priced per kit
Includes: 1 Gallon Part A and 1 Gallon Part B",,1005-07,Closed,???,SCC_142279,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,16,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
16,1,2226.0,,,1005-08,Closed,???,SCC_142280,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,17,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
17,1,1100.0,,,1005-09,Closed,???,SCC_142281,SCC_1005,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,18,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-07-31
18,1,0.0,21A,,1003-01,Closed,???,SCC_142322,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,19,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
19,1,0.0,20A,,1003-02,Closed,???,SCC_142323,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,20,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
20,1,0.0,113,,1003-03,Closed,???,SCC_142324,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,21,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
21,1,0.0,19A,,1003-04,Closed,???,SCC_142325,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,22,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
22,1,0.0,18A,,1003-05,Closed,???,SCC_142326,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,23,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
23,1,0.0,17A,,1003-06,Closed,???,SCC_142327,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,24,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
24,1,0.0,16A,,1003-07,Closed,???,SCC_142328,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,25,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
25,2,0.0,15A,,1003-08,Closed,???,SCC_142329,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,26,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
26,2,0.0,14A,,1003-09,Closed,???,SCC_142330,SCC_1003,02iDn000000AXurIAG,01uDn000003d5aFIAQ,LIQUID,27,Y,2023-04-18 09:01:09.823,SCC_OrderDet.csv,2018-08-10
