,QUOTE_TO,Addr1,Addr2,City,st,Zip,QuoteNo,DateENT,E2_Customer_Key,QuotedBy,ShipVia,ContactName,InqNum,TermsCode,Phone,FAX,Total,E2_Quote_Key,RecordTypeId,Name,StageName,CloseDate,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
0,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14299,2018-07-30,SCC_4893,956,,Jamie Scallion,Goodyear Tank ID/OD,NET 30,602-497-4997,,Formula for Total??,SCC_14299, ,Professional Piping Systems - 14299,Quote,2018-11-27,1,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
1,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14300,2018-07-31,SCC_4890,956,,Kody Koebensky,"Well #155 ""Yard Pipe""",DUE ON RECEI,,,Formula for Total??,SCC_14300, ,Currier Construction - 14300,Quote,2018-11-28,2,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
2,FPF Industries,"3618 E. LA SALLE STREET
",,Phoenix,AZ,85040,SCC_14301,2018-07-31,SCC_4894,956,,Blake Ebner,"2"" OD ONLY",,602-437-0006,602-437-0044,Formula for Total??,SCC_14301, ,FPF Industries - 14301,Quote,2018-11-28,3,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-07-31,DESERT
3,FPF Industries,"3618 E. LA SALLE STREET
",,Phoenix,AZ,85040,SCC_14302,2018-07-31,SCC_4894,956,,Blake Ebner,"2"" ID ONLY",,602-437-0006,602-437-0044,Formula for Total??,SCC_14302, ,FPF Industries - 14302,Quote,2018-11-28,4,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
4,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14303,2018-08-08,SCC_4893,956,,Tommy Thomas,Starr Pass Spools,DUE ON RECEI,602-497-4997,,Formula for Total??,SCC_14303, ,Professional Piping Systems - 14303,Quote,2018-12-06,5,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-09-26,DESERT
5,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14305,2018-08-10,SCC_4890,956,,Kody Koebensky,"Well #85 ""Yard Pipe""",DUE ON RECEI,,,Formula for Total??,SCC_14305, ,Currier Construction - 14305,Quote,2018-12-08,6,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-01-09,DESERT
6,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14306,2018-08-13,SCC_4893,956,,Eric Johnson,Sands Tank ID Only,NET 30,602-497-4997,602-497-4907,Formula for Total??,SCC_14306, ,Professional Piping Systems - 14306,Quote,2018-12-11,7,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-13,DESERT
7,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14307,2018-08-13,SCC_4893,956,,Eric Johnson,Sands Tank OD Only,NET 30,602-497-4997,602-497-4907,Formula for Total??,SCC_14307, ,Professional Piping Systems - 14307,Quote,2018-12-11,8,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-13,DESERT
8,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14308,2018-08-15,SCC_4893,956,,Jamie Scallion,Cave Creek Vessels,NET 30,602-497-4997,,Formula for Total??,SCC_14308, ,Professional Piping Systems - 14308,Quote,2018-12-13,9,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
9,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14309,2018-08-15,SCC_4893,956,,Jamie Scallion,Cave Creek Vessels,NET 30,602-497-4997,,Formula for Total??,SCC_14309, ,Professional Piping Systems - 14309,Quote,2018-12-13,10,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
10,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14310,2018-08-15,SCC_4893,956,,Jamie Scallion,Cave Creek Vessels (6'x6'),NET 30,602-497-4997,,Formula for Total??,SCC_14310, ,Professional Piping Systems - 14310,Quote,2018-12-13,11,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
11,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14311,2018-08-16,SCC_4890,956,,Kody Koebensky,Toll Brothers,DUE ON RECEI,,,Formula for Total??,SCC_14311, ,Currier Construction - 14311,Quote,2018-12-14,12,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2018-08-16,DESERT
12,OLT Fabrication,"2301 West Broadway
",,Phoenix,AZ,85041,SCC_14312,2018-08-20,SCC_4897,956,,Greg Rath,,NET 30,602-276-4841,602-276 4843,Formula for Total??,SCC_14312, ,OLT Fabrication - 14312,Quote,2018-12-18,13,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
13,Currier Construction,"36N 56th st
",,Phoenix,AZ,85034,SCC_14313,2018-08-22,SCC_4890,956,,Kody Koebensky,Vadose Zone Well,DUE ON RECEI,,,Formula for Total??,SCC_14313, ,Currier Construction - 14313,Quote,2018-12-20,14,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
14,Professional Piping Systems,"406 E. Pioneer St.
",,Phoenix,AZ,85040,SCC_14314,2018-08-22,SCC_4893,956,,Jamie Scallion,Horse Damn Mesa,NET 30,602-497-4997,,Formula for Total??,SCC_14314, ,Professional Piping Systems - 14314,Quote,2018-12-20,15,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,2019-04-25,DESERT
15,MILLING MACHINE (MMI),"1042 S. Lewis
",,Mesa,AZ,85210,SCC_14315,2018-08-27,SCC_4898,956,,Dusty Pinckard-,Green Water Area 10 EPEB,DUE ON RECEI,480-964-9041,480-964-9707,Formula for Total??,SCC_14315, ,MILLING MACHINE (MMI) - 14315,Quote,2018-12-25,16,Y,2023-04-18 09:02:22.120,SCC_Quote.csv,,DESERT
