,ItemNo,PartNo,Qty1,Price1,JobNo,JobNotes,QuoteNo,Status,Name,QuoteDet_ID,LookupValForOpp,WorkCode,RowNum_Of_Source_File,LoadedByPython,LoadDate,Source_File,PreviousModDate,LoadForCompany
0,1,STEEL TANK 12'X8' INSIDE/OUTSIDE ONLY,1.0,12660.0,,,14299,EXP,"Sandblast, Primer and Topcoat",SCC_26502,SCC_14299,LIQUID,1,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-11-27,DESERT
1,2,SERIES N140 TNEMEC TANK WHITE,20.0,0.0,,,14299,EXP,"Tnemec Series N140 Polyamide Epoxy 15BL Tank White
Part A and Part B, 2 or 10 Ga",SCC_26503,SCC_14299,LIQUID,2,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-11-27,DESERT
2,1,"8"" SPOOL PIECES",24.0,105.0,,,14300,EXP,Field Coating: Primer and Topcoat,SCC_26504,SCC_14300,LIQUID,3,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
3,2,SERIES N69 TNEMEC,2.0,50.0,,,14300,EXP,"Tnemec Series N69 Polyamidoamine Epoxy 2 Gallon Kit
Color: Beige",SCC_26505,SCC_14300,LIQUID,4,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
4,3,SERIES 73 TNEMEC,2.0,65.0,,,14300,EXP,"Tnemec Series 73 Acrylic Polyurethane
Color: Beige",SCC_26506,SCC_14300,LIQUID,5,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
5,1,"2"" CARBON STEEL 45* ELBOW OUTSIDE ONLY",2.0,75.0,,,14301,EXP,Sandblast and Topcoat,SCC_26516,SCC_14301,DUMMY,11,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
6,2,"2"" CARBON STEEL 90* ELBOW OUTSIDE ONLY",2.0,75.0,,,14301,EXP,Sandblast and Topcoat,SCC_26517,SCC_14301,DUMMY,12,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
7,3,"2""X21' CARBON STEEL SPOOL OUTSIDE ONLY",3.0,126.0,,,14301,EXP,Sandblast and Topcoat,SCC_26518,SCC_14301,DUMMY,13,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
8,4,EPA,1.0,33.9,,,14301,EXP,,SCC_26519,SCC_14301,DUMMY,14,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
9,5,SERIES N140 TNEMEC TANK WHITE,4.0,0.0,,,14301,EXP,"Tnemec Series N140 Polyamide Epoxy 15BL Tank White
Part A and Part B, 2 or 10 Ga",SCC_26520,SCC_14301,DUMMY,15,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
10,1,"2"" CARBON STEEL 45* ELBOW INSIDE ONLY",2.0,75.0,,,14302,EXP,Sandblast and Topcoat,SCC_26511,SCC_14302,DUMMY,6,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
11,2,"2"" CARBON STEEL 90* ELBOW INSIDE ONLY",2.0,75.0,,,14302,EXP,Sandblast and Topcoat,SCC_26512,SCC_14302,DUMMY,7,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
12,3,"2""X21' CARBON STEEL SPOOL INSIDE ONLY",3.0,252.0,,,14302,EXP,Sandblast and Topcoat,SCC_26513,SCC_14302,DUMMY,8,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
13,4,EPA,1.0,52.8,,,14302,EXP,,SCC_26514,SCC_14302,DUMMY,9,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
14,5,SERIES N140 TNEMEC TANK WHITE,4.0,0.0,,,14302,EXP,"Tnemec Series N140 Polyamide Epoxy 15BL Tank White
Part A and Part B, 2 or 10 Ga",SCC_26515,SCC_14302,DUMMY,10,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
15,1,"SCH 40 SPOOL FLGXFLG 8""X1'7""",2.0,190.0,,,14303,EXP,"Sandblast ID/OD, N140 ID Only, N69 and Series 1075",SCC_27196,SCC_14303,LIQUID,271,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
16,2,"SCH 40 SPOOL FLGXFLG 8""X2'",2.0,230.0,,,14303,EXP,"Sandblast ID/OD, N140 ID Only, N69 and Series 1075",SCC_27197,SCC_14303,LIQUID,272,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
17,3,"SCH 40 SPOOL FLGXFLG 8""X3'4""",1.0,350.0,,,14303,EXP,"Sandblast ID/OD, N140 ID Only, N69 and Series 1075",SCC_27198,SCC_14303,LIQUID,273,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
18,4,"SCH 40 SPOOL FLGXFLG 8""X8'4""",1.0,710.0,,,14303,EXP,"Sandblast ID/OD, N140 ID Only, N69 and Series 1075",SCC_27199,SCC_14303,LIQUID,274,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
19,5,"SCH 40 SPOOL FLGXFLG 8""X2'4""",1.0,260.0,,,14303,EXP,"Sandblast ID/OD, N140 ID Only, N69 and Series 1075",SCC_27200,SCC_14303,LIQUID,275,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
20,6,EPA,1.0,96.5,,,14303,EXP,,SCC_27201,SCC_14303,LIQUID,276,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
21,1,"8"" SPOOL PIECES",56.0,105.0,,,14305,EXP,Field Coating: Primer and Topcoat,SCC_28093,SCC_14305,LIQUID,448,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
22,2,SERIES N69 TNEMEC,5.0,50.0,,,14305,EXP,"Tnemec Series N69 Polyamidoamine Epoxy 2 Gallon Kit
Color: Beige",SCC_28094,SCC_14305,LIQUID,449,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
23,3,SERIES 73 TNEMEC,5.0,65.0,,,14305,EXP,"Tnemec Series 73 Acrylic Polyurethane
Color: Beige",SCC_28095,SCC_14305,LIQUID,450,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-10,DESERT
24,1,"22"" ELBOW 90* FLGXFLG INSIDE ONLY",2.0,150.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26614,SCC_14306,LIQUID,16,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
25,2,"PIPE SPOOL 22""X17.5' FLGXFLG INSIDE ONLY",1.0,855.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26615,SCC_14306,LIQUID,17,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
26,3,"PIPE SPOOL 22""X16' FLGXFLG INSIDE ONLY",1.0,785.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26616,SCC_14306,LIQUID,18,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
27,4,"24"" ELBOW 90* W/ REDUCER FLGXFLG INSIDE ONLY",1.0,175.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26617,SCC_14306,LIQUID,19,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
28,5,"PIPE SPOOL 24""X9' FLGXFLG INSIDE ONLY",1.0,500.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26618,SCC_14306,LIQUID,20,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
29,6,"24"" ELBOW 90* FLGXFLG INSIDE ONLY",1.0,150.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26619,SCC_14306,LIQUID,21,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
30,7,"PIPE SPOOL 24""X15' FLGXFLG INSIDE ONLY",1.0,855.0,,,14306,EXP,Sandblast and Epoxy Lining,SCC_26620,SCC_14306,LIQUID,22,Y,2023-04-14 09:10:08.590,SCC_QuoteDet.csv,2018-12-11,DESERT
